Year,Row,Nr.,Name,Geboren,Aufnahme,Gestorben,Fachsektion,Link
1930,11,,Rudolf Straubel,16. Juni 1864,,2. Dez. 1943,Physik,/wiki/Rudolf_Straubel
1930,12,,Max Versé,15. März 1877,,31. Aug. 1947,Pathologie,/wiki/Max_Vers%C3%A9
1931,0,,Wilhelm Biltz,8. März 1877,,13. Nov. 1943,Chemie,/wiki/Wilhelm_Biltz
1931,1,,Berthold Klatt,4. Apr. 1885,,4. Jan. 1958,Zoologie,/wiki/Berthold_Klatt
1931,2,,Gustaf Komppa,28. Juli 1867,,20. Jan. 1949,Chemie,/wiki/Gustaf_Komppa
1931,3,,Hugo Roedel,1858,,1940,Geologie und Paläontologie,/wiki/Hugo_Roedel
1931,4,,Eduard August Rübel,18. Juli 1876,,24. Juni 1960,Geologie und Paläontologie,/wiki/Eduard_August_R%C3%BCbel
1931,5,,Adolf Smekal,12. Sep. 1895,,7. März 1959,Physik,/wiki/Adolf_Smekal
1932,0,,Herbert Assmann,25. Nov. 1882,,27. Feb. 1950,Innere Medizin,/wiki/Herbert_Assmann
1932,1,,Boris Babkin,5. Jan. 1877,,3. Mai 1950,Physiologie,/wiki/Boris_Babkin
1932,2,,Frederick Banting,14. Nov. 1891,,21. Feb. 1941,Physiologie,/wiki/Frederick_Banting
1932,3,,George Barger,4. Apr. 1878,,5. Jan. 1939,Chemie,/wiki/George_Barger
1932,4,,Adolf Basler,1878,,1945,Physiologie,/wiki/Adolf_Basler
1932,5,,Heinrich Bechhold,13. Nov. 1866,,17. Feb. 1937,Physikalische Chemie,/wiki/Heinrich_Bechhold
1932,6,,Serafino Belfanti,,,,Pathologie,
1932,7,,Max Bergmann,12. Feb. 1886,,7. Nov. 1944,Chemie,/wiki/Max_Bergmann_(Chemiker)
